Area,Tag,Position,Mark,Mark Position,Sex,Age (category),Age (actual),Harem Position,# pups (2026),# pups (lifetime)
NP4,,,H825,R,F,AD,5,INT,2,3
NP4,,,H512,L,F,AD,6,EXT,1,3
NP4,,,E967,R,F,AD,7,EXT,1,4
NP4,,,J023,L,F,AD,5,INT,1,2
NP4,,,K201,L,F,AD,5,INT,,2
NP4,,,K723,L,F,AD,4,EXT,1,2
NP4,,,K847,L,F,AD,4,EXT,1,1
NP4,,,G969,R,F,AD,6,INT,1,2
NP4,GJ109,R-ou-Si,,,F,AD,5,EXT,1,2
NP3,,,G745,R,F,AD,12,INT,1,9
NP3,,,E77,R,F,AD,13,EXT,1,10
NP3,,,D498,R,F,AD,8,EXT,1,4
NP3,,,H754,L,F,AD,7,EXT,1,4
NP3,,,E820,L,F,AD,6,INT,1,3
NP3,,,WH535,R,F,AD,8,INT,1,5
NP3,,,J230,"L,R",F,AD,13,INT,1,7
NP2,,,G247,R,F,AD,6,EXT,1,2
NP2,,,K158,R,F,AD,5,INT,1,2
NP1,,,E715,L,F,AD,7,INT,1,4
NP1,,,K140,R,F,AD,5,EXT,1,2
NP0,,,C710,L,F,AD,16,EXT,1,8
NP0,,,G430,R,F,AD,6,INT,1,3
NP0,,,A506,R,F,AD,6,EXT,1,3
NP0,,,B717,L,F,AD,10,INT,,7
NP0,,,E152,"L,R",F,AD,8,INT,1,3
NP0,,,H391,"L,R",F,AD,6,INT,1,3
MBBL,,,J106,L,F,AD,5,EXT,1,2
MBBL,,,6561,L,F,AD,14,INT,1,10
MBBL,,,J233,L,F,AD,14,INT,1,8
MBBL,G6469,R-ou-Si,646P,R,F,AD,14,EXT,1,10
MBBL,,,H673,R,F,AD,13,INT,0,9
BMB,,,A522,L,F,AD,14,INT,0,8
BMB,,,J255,L,F,AD,4,EXT,1,1
BMB,,,J054,L,F,AD,5,EXT,2,3
BMB,,,K023,L,F,AD,5,INT,1,2
BMB,,,E309,R,F,AD,8,INT,1,4
BMB,,,J111,R,F,AD,5,EXT,1,2
BMS,,,J176,R,F,AD,5,EXT,1,1
BMS,,,W2277,R,F,AD,4,INT,1,1
BBSL,,,G098,R,F,AD,7,EXT,1,3
BBSL,,,K341,L,F,AD,5,EXT,1,2
BBSL,,,9740,L,F,AD,17,INT,1,13
BBSL,,,H300,L,F,AD,6,INT,0,2
AP (north),,,E470,L,F,AD,8,INT,0,4
AP (north),,,E142,R,F,AD,8,INT,1,5
AP (north),,,H376,L,F,AD,6,EXT,1,1
AP (point),,,9553,R,F,AD,13,INT,,2
AP (point),,,K396,L,F,AD,5,INT,0,2
AP (point),,,H278,R,F,AD,6,INT,1,2
AP (point),,,6964,L,F,AD,14,INT,1,10
AP (point),,,H829,R,F,AD,5,INT,1,2
AP (south),,,B720,L,F,AD,10,INT,1,6
AP (south),,,A501,R,F,AD,12,INT,1,6
SBW,,,K377,L,F,AD,5,EXT,1,3
APG,,,H090,R,F,AD,4,INT,,1
APGw,,,L114,L,F,AD,3,EXT,1,1
APGw,,,H776,R,F,AD,5,EXT,1,2
APGw,,,D929,L,F,AD,9,EXT,1,6
TSB,,,L254,R,F,AD,3,EXT,,1
TSB,,,M241,R,F,AD,9,INT,,4
TSC,,,J390,L,F,AD,8,EXT,1,5
TSC,,,3740,R,F,AD,15,EXT,1,7
TSC,,,WH245,L,F,AD,11,INT,1,8
TSC,,,B18,L,F,AD,11,EXT,1,8
